🇳央视频道,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV3,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226720/1.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV4,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226725/1.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226731/1.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV5+,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226711/1.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV6,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226699/1.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV7,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226721/1.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV8,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226715/1.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV9,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226651/1.m3u8
CCTV9,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226657/1.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV10,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226708/1.m3u8
CCTV11,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226714/1.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV12,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226723/1.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV13,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226717/1.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV14,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226663/1.m3u8
CCTV15,http://222.241.154.37:9901/tsfile/live/23015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226648/1.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV17,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226660/1.m3u8
CCTV4K,https://tv.cry33.com/ys4k.php?id=4k
CCTV8K,http://120.79.4.185/md0418.php?id=cctv8k

CCTV16-4k,https://tv.cry33.com/ys4k.php?id=16-4k
CCTV1,http://120.79.4.185/md0418.php?id=cctv1
CCTV2,http://120.79.4.185/md0418.php?id=cctv2
CCTV3,http://120.79.4.185/md0418.php?id=cctv3
CCTV4,http://120.79.4.185/md0418.php?id=cctv4
CCTV5,http://120.79.4.185/md0418.php?id=cctv5
CCTV5+,http://120.79.4.185/md0418.php?id=cctv5p
CCTV5,http://120.79.4.185/md0418.php?id=cctv5
CCTV6,http://120.79.4.185/md0418.php?id=cctv6
CCTV7,http://120.79.4.185/md0418.php?id=cctv7
CCTV8,http://120.79.4.185/md0418.php?id=cctv8
CCTV9,http://120.79.4.185/md0418.php?id=cctv9
CCTV10,http://120.79.4.185/md0418.php?id=cctv10
CCTV11,http://120.79.4.185/md0418.php?id=cctv11
CCTV12,http://120.79.4.185/md0418.php?id=cctv12
CCTV13,http://120.79.4.185/md0418.php?id=cctv13
CCTV14,http://120.79.4.185/md0418.php?id=cctv14
CCTV15,http://120.79.4.185/md0418.php?id=cctv15
CCTV16,http://120.79.4.185/md0418.php?id=cctv16
CCTV16-4K,http://120.79.4.185/md0418.php?id=cctv16-4k
CCTV17,http://120.79.4.185/md0418.php?id=cctv17

CTV4K,http://120.79.4.185/md0418.php?id=cctv4k
CCTV兵器科技,http://120.79.4.185/md0418.php?id=bqkj
CCTV第一剧场,http://120.79.4.185/md0418.php?id=dyjc
CCTV怀旧剧场,http://120.79.4.185/md0418.php?id=hjjc
CCTV风云剧场,http://120.79.4.185/md0418.php?id=fyjc
CCTV风云音乐,http://120.79.4.185/md0418.php?id=fyyy
CCTV风云足球,http://120.79.4.185/md0418.php?id=fyzq
CCTV电视指南,http://120.79.4.185/md0418.php?id=dszn
CCTV女性时尚,http://120.79.4.185/md0418.php?id=nxss
CCTV央视文化精品,http://120.79.4.185/md0418.php?id=whjp
CCTV世界地理,http://120.79.4.185/md0418.php?id=sjdl
CCTV高尔夫网球,http://120.79.4.185/md0418.php?id=gefwq
CCTV央视台球,http://120.79.4.185/md0418.php?id=ystq
CCTV卫生健康,http://120.79.4.185/md0418.php?id=wsjk
CGTN,http://120.79.4.185/md0418.php?id=cgtn
CGTN纪录,http://120.79.4.185/md0418.php?id=cgtnjl
CGTN西语,http://120.79.4.185/md0418.php?id=cgtne
CGTN法语,http://120.79.4.185/md0418.php?id=cgtnf
CGTN阿语,http://120.79.4.185/md0418.php?id=cgtna
CGTN俄语,http://120.79.4.185/md0418.php?id=cgtnr
教育1台,http://120.79.4.185/md0418.php?id=cetv1

郑铁有线频道,http://39.162.27.11:8081/newlive/live/hls/1/live.m3u8
人民铁道频道,http://39.162.27.11:8081/newlive/live/hls/2/live.m3u8
CCTV1,http://222.241.154.37:9901/tsfile/live/23001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://222.241.154.37:9901/tsfile/live/23002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://222.241.154.37:9901/tsfile/live/23003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://222.241.154.37:9901/tsfile/live/23004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://222.241.154.37:9901/tsfile/live/23005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://222.241.154.37:9901/tsfile/live/23006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://222.241.154.37:9901/tsfile/live/23007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://222.241.154.37:9901/tsfile/live/23008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://222.241.154.37:9901/tsfile/live/23009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://222.241.154.37:9901/tsfile/live/23010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://222.241.154.37:9901/tsfile/live/23011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://222.241.154.37:9901/tsfile/live/23012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://222.241.154.37:9901/tsfile/live/23013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://222.241.154.37:9901/tsfile/live/23014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://222.241.154.37:9901/tsfile/live/23016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://222.241.154.37:9901/tsfile/live/23017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://222.241.154.37:9901/tsfile/live/23018_1.m3u8?key=txiptv&playlive=1&authid=0

CETV-1中教,https://cdn2.jdshipin.com/api/bst2.php?id=zgjy1t8m/8000000
CETV-4中教,https://cdn2.jdshipin.com/api/bst2.php?id=zgjy4hd8m/8000000
CGTN记录,https://livedoc.cgtn.com/500d/prog_index.m3u8
CGTN俄语,https://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN法语,https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN西语,https://livees.cgtn.com/1000e/prog_index.m3u8
CGTN阿语,https://livear.cgtn.com/1000a/prog_index.m3u8

CCTV1,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=1
CCTV2,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=2
CCTV3,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=3
CCTV4,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=4
CCTV5,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=5
CCTV5+,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=6
CCTV6,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=7
CCTV7,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=8
CCTV8,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=9
CCTV9,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=10
CCTV10,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=11
CCTV11,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=12
CCTV12,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=13
CCTV13,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=14
CCTV14,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=15
CCTV16,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=17
CCTV17,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=18
CCTV第一剧场,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=27
CCTV怀旧剧场,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=28
CCTV兵器科技,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=29
CCTV风云音乐,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=30
CCTV风云足球,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=31
CCTV央视台球,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=32
CCTV高尔夫网球,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=33
CCTV风云剧场,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=34
CCTV电视指南,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=35
CCTV女性时尚,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=36
CCTV世界地理,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=37
CCTV卫生健康,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=38
CGTN,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=21
CGTN记录,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=22
CGTN西语,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=23
CGTN法语,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=24
CGTN阿拉伯语,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=25
CGTN俄语,http://8.134.82.80:32858/ysp0409/haiouysp.php?id=26
CGTN,http://live.cgtn.com/500/prog_index.m3u8
CGTN新闻,http://live.cgtn.com/1000/prog_index.m3u8
CGTN纪录,https://livedoc.cgtn.com/500d/prog_index.m3u8
CGTN俄语,http://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN俄语,http://news.cgtn.com/resource/live/russian/cgtn-r.m3u8
CGTN俄语,https://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN拉美,http://livees.cgtn.com/1000e/prog_index.m3u8
CGTN法语,http://news.cgtn.com/resource/live/french/cgtn-f.m3u8
CGTN法语,https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN纪录,http://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
CGTN英新,http://live.cgtn.com/500/prog_index.m3u8
CGTN英新,http://live.cgtn.com/1000/prog_index.m3u8
CGTN西语,http://livees.cgtn.com/500e/prog_index.m3u8
CGTN西语,http://livees.cgtn.com/1000e/prog_index.m3u8
CGTN西语,http://news.cgtn.com/resource/live/espanol/cgtn-e.m3u8
CGTN西语,https://livees.cgtn.com/1000e/prog_index.m3u8
CGTN阿语,http://livear.cgtn.com/1000a/prog_index.m3u8
CGTN阿语,http://news.cgtn.com/resource/live/arabic/cgtn-a.m3u8
CGTN阿语,https://livear.cgtn.com/1000a/prog_index.m3u8
CNA新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
CGTN,https://live.cgtn.com/1000/prog_index.m3u8
CGTN纪录,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
CGTN记录,https://livedoc.cgtn.com/500d/prog_index.m3u8
CCTV移动传媒,http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/649e19038fa74514ab3f00febbcd6de0/1200.m3u8
CETV-1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV-2,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV-4,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
直播中国,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
书画频道,http://211.103.180.178:8234/live_hls/hdmi.m3u8
兵器科技,https://live.goodiptv.club/api/cqyx.php?id=bqkjHD

CCTV1,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV2,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
